user_id,item_id,Recommended_Games
--ace--,"440, 113200","['Team Fortress 2', 'Half-Life 2', 'The Binding of Isaac', nan]"
--ionex--,"105600, 730","['Counter-Strike: Global Offensive', 'Terraria']"
-2SV-vuLB-Kg,"440, 730, 200510, 277950","['Team Fortress 2', 'Counter-Strike: Global Offensive']"
-Azsael-,226860,"['Eador. Masters of the Broken World', 'Galactic Civilizations III', 'Stellaris', 'Warhammer: End Times - Vermintide', ""King's Bounty: Warriors of the North""]"
-GM-Dragon,244850,[nan]
-Kenny,1250,['Killing Floor']
-Mad-,"60, 8870",['BioShock Infinite']
-PRoSlayeR-,201570,"['Galactic Civilizations III', nan, 'Team Fortress 2', ""Garry's Mod"", 'Really Big Sky']"
-SatansLittleHelper-,730,['Counter-Strike: Global Offensive']
-Thyme-,218620,[nan]
-Ultrix,70,['Half-Life']
-_PussyDestroyer_-,"440, 238430",['Team Fortress 2']
-kainey9777,730,['Counter-Strike: Global Offensive']
0-3-0,8870,['BioShock Infinite']
00000000000000000001227,"4000, 251570, 220","[""Garry's Mod"", 'Source Filmmaker', 'Half-Life 2', 'Counter-Strike: Global Offensive', nan]"
00690069006900,304050,['Trove']
00810cccyyykkk,440,['Team Fortress 2']
0099654321891111,277430,['Halo: Spartan Assault']
00True,221100,['DayZ']
01001000-01101001,"440, 268500, 305620, 248820","['Team Fortress 2', 'Maia', 'Risk of Rain']"
011111135489484797,"240, 550","['Left 4 Dead 2', 'Counter-Strike: Source']"
01189958889189157253,"4000, 244850","[nan, ""Garry's Mod"", 'The Forest']"
01221733,211500,"['RaceRoom Racing Experience', nan, 'Train Simulator: Southern Pacific GS-4 Loco Add-On']"
0132489,224260,['No More Room in Hell']
0136849195,322170,['Geometry Dash']
01shan,440,['Team Fortress 2']
022899,"440, 8930, 211820","[""Sid Meier's Civilization® V"", 'Team Fortress 2', nan, 'Starbound']"
03092002,440,['Team Fortress 2']
0412734634,238960,[nan]
0432-026-no,620,['Portal 2']
0445233,440,['Team Fortress 2']
0468313256,440,['Team Fortress 2']
05041129,"730, 277430","['Counter-Strike: Global Offensive', 'Halo: Spartan Assault']"
05461025,304930,['Unturned']
0700464574757,301910,"['Saints Row: Gat out of Hell', ""Garry's Mod"", 'Battleborn', 'Dirty Bomb®', 'State of Decay']"
07824,"105600, 285580",['Terraria']
08254669696969696969,"242720, 203140, 730, 218620, 243870","['Counter-Strike: Global Offensive', nan]"
0903512455,238320,['Outlast']
09106,"427520, 211820, 227860",['Starbound']
095732,99900,['Spiral Knights']
095843067,230290,"['Dirty Bomb®', 'Soldier Front 2', nan, 'Team Fortress 2', ""Garry's Mod""]"
098766catdogbnmnnn,"230410, 1250","['Alien Swarm', 'Warframe', 'Killing Floor', 'Super Switch']"
09879655452567,"227940, 242760, 72850, 380, 218620, 346110","[nan, 'The Forest', 'ARK: Survival Evolved', 'Heroes & Generals', 'Company of Heroes - Legacy Edition']"
100101011111000011111111,"209080, 730, 213670, 271590","['Grand Theft Auto V', nan, 'Counter-Strike: Global Offensive', 'South Park™: The Stick of Truth™', 'DayZ']"
10051997,"440, 730, 252490, 570","[""Deus Ex: Human Revolution - Director's Cut"", 'Rust', 'Counter-Strike: Global Offensive', 'Team Fortress 2', nan]"
1011001,"323500, 219150, 239030, 730, 218620, 252350","['Counter-Strike: Global Offensive', nan]"
1016523030,440,['Team Fortress 2']
10197226,440,['Team Fortress 2']
102598615,304930,['Unturned']
10936543792,"301520, 218130",['Robocraft']
10Degree,"4000, 730, 351990, 270450","['Counter-Strike: Global Offensive', ""Garry's Mod""]"
110211021,730,['Counter-Strike: Global Offensive']
11111121111122221,105600,['Terraria']
111190869,242860,['Verdun']
